2010402795, 2010402795, WorldRef_Z, USA1, DB:>LEVELS>COURSES2>QUARTIER_1>3DNODEGEOMETRY>CR16.TWORLDREF
2073941724, 2073941724, WorldRef_Z, USA1, DB:>LEVELS>COURSES3>QUARTIER_1>3DNODEGEOMETRY>CR29.TWORLDREF
2083178164, 2083178164, WorldRef_Z, USA1, DB:>LEVELS>COURSES1>QUARTIER_1>3DNODEGEOMETRY>CR43.TWORLDREF
2104044053, 2104044053, WorldRef_Z, USA1, DB:>LEVELS>COURSES2>QUARTIER_1>3DNODEGEOMETRY>CR16_001.TWORLDREF
2127515136, 2127515136, WorldRef_Z, USA1, DB:>LEVELS>COURSES3>QUARTIER_1>3DNODEGEOMETRY>HABILLAGE_CR61.TWORLDREF
2205886223, -2089081073, WorldRef_Z, USA1, DB:>LEVELS>COURSES1>QUARTIER_1>3DNODEGEOMETRY>CR68.TWORLDREF
2294329157, -2000638139, WorldRef_Z, USA1, DB:>LEVELS>COURSES1>QUARTIER_1>3DNODEGEOMETRY>CR39.TWORLDREF
2333572525, -1961394771, WorldRef_Z, USA1, DB:>LEVELS>COURSES1>QUARTIER_1>3DNODEGEOMETRY>CR32.TWORLDREF
2430087565, -1864879731, WorldRef_Z, USA1, DB:>LEVELS>HUBS>QUARTIER_1>3DNODEGEOMETRY>HUB_LAKEPOWELL.TWORLDREF
2493568061, -1801399235, WorldRef_Z, USA1, DB:>LEVELS>HUBS>QUARTIER_1>3DNODEGEOMETRY>HABILLAGE_CR54.TWORLDREF
2509800330, -1785166966, WorldRef_Z, USA1, DB:>LEVELS>HUBS>QUARTIER_1>3DNODEGEOMETRY>HUB_DROWNCITY.TWORLDREF
2523480599, -1771486697, WorldRef_Z, USA1, DB:>LEVELS>COURSES1>QUARTIER_1>3DNODEGEOMETRY>CR41.TWORLDREF
2641456839, -1653510457, WorldRef_Z, USA1, DB:>LEVELS>HUBS>QUARTIER_1>3DNODEGEOMETRY>HUB_CHELLYCANYON.TWORLDREF
2643970888, -1650996408, WorldRef_Z, USA1, DB:>LEVELS>COURSES2>QUARTIER_1>3DNODEGEOMETRY>CR14.TWORLDREF
2668204405, -1626762891, WorldRef_Z, USA1, DB:>LEVELS>HUBS>QUARTIER_1>3DNODEGEOMETRY>CR54.TWORLDREF
2735417516, -1559549780, WorldRef_Z, USA1, DB:>LEVELS>COURSES3>QUARTIER_1>3DNODEGEOMETRY>CR19.TWORLDREF
2783238794, -1511728502, WorldRef_Z, USA1, DB:>LEVELS>COURSES2>QUARTIER_1>3DNODEGEOMETRY>CR12.TWORLDREF
2815660366, -1479306930, WorldRef_Z, USA1, 
2911404072, -1383563224, WorldRef_Z, USA1, DB:>LEVELS>COURSES2>QUARTIER_1>3DNODEGEOMETRY>CR48.TWORLDREF
2920960981, -1374006315, WorldRef_Z, USA1, DB:>LEVELS>COURSES1>QUARTIER_1>3DNODEGEOMETRY>CR47.TWORLDREF
2936516750, -1358450546, WorldRef_Z, USA1, DB:>LEVELS>COURSES1>QUARTIER_1>3DNODEGEOMETRY>CR22.TWORLDREF
2940383643, -1354583653, WorldRef_Z, USA1, DB:>LEVELS>COURSES2>QUARTIER_1>3DNODEGEOMETRY>CR26.TWORLDREF
2954336967, -1340630329, WorldRef_Z, USA1, DB:>LEVELS>HUBS>QUARTIER_1>3DNODEGEOMETRY>HUB_CRATERMOON.TWORLDREF
2990312993, -1304654303, WorldRef_Z, USA1, DB:>LEVELS>COURSES2>QUARTIER_1>3DNODEGEOMETRY>CR55.TWORLDREF
3101680677, -1193286619, WorldRef_Z, USA1, DB:>LEVELS>COURSES1>QUARTIER_1>3DNODEGEOMETRY>CR65.TWORLDREF
3137319613, -1157647683, WorldRef_Z, USA1, DB:>LEVELS>HUBS>QUARTIER_1>3DNODEGEOMETRY>HUB_STADIUM.TWORLDREF
3181561342, -1113405954, WorldRef_Z, USA1, DB:>LEVELS>COURSES3>QUARTIER_1>3DNODEGEOMETRY>CR61.TWORLDREF
3271653567, -1023313729, WorldRef_Z, USA1, DB:>LEVELS>COURSES2>QUARTIER_1>3DNODEGEOMETRY>CR40.TWORLDREF
3290438285, -1004529011, WorldRef_Z, USA1, DB:>LEVELS>HUBS>QUARTIER_1>3DNODEGEOMETRY>HUB_VALLEY2.TWORLDREF
3479152843, -815814453, WorldRef_Z, USA1, DB:>LEVELS>COURSES3>QUARTIER_1>3DNODEGEOMETRY>CR7.TWORLDREF
3490972662, -803994634, WorldRef_Z, USA1, DB:>LEVELS>HUBS>QUARTIER_1>3DNODEGEOMETRY>HUB_MOUNTAIN3.TWORLDREF
3551289427, -743677869, WorldRef_Z, USA1, 
3586445135, -708522161, WorldRef_Z, USA1, DB:>LEVELS>COURSES2>QUARTIER_1>3DNODEGEOMETRY>CR62.TWORLDREF
3633362211, -661605085, WorldRef_Z, USA1, DB:>LEVELS>COURSES3>QUARTIER_1>3DNODEGEOMETRY>CR38.TWORLDREF
3663365264, -631602032, WorldRef_Z, USA1, DB:>LEVELS>COURSES3>QUARTIER_1>3DNODEGEOMETRY>CR56.TWORLDREF
3687972629, -606994667, WorldRef_Z, USA1, DB:>LEVELS>HUBS>QUARTIER_1>3DNODEGEOMETRY>RESETCOURSE.TWORLDREF
3824049447, -470917849, WorldRef_Z, USA1, DB:>LEVELS>HUBS>QUARTIER_1>3DNODEGEOMETRY>HABILLAGE_CR1.TWORLDREF
3901750851, -393216445, WorldRef_Z, USA1, DB:>LEVELS>COURSES3>QUARTIER_1>3DNODEGEOMETRY>CR64.TWORLDREF
4035764258, -259203038, WorldRef_Z, USA1, DB:>LEVELS>COURSES1>QUARTIER_1>3DNODEGEOMETRY>CR13.TWORLDREF
4109116066, -185851230, WorldRef_Z, USA1, DB:>LEVELS>COURSES3>QUARTIER_1>3DNODEGEOMETRY>CR72.TWORLDREF
4233300815, -61666481, WorldRef_Z, USA1, DB:>LEVELS>HUBS>QUARTIER_1>3DNODEGEOMETRY>HUB_VALLEY4.TWORLDREF
4266281395, -28685901, WorldRef_Z, USA1, DB:>LEVELS>COURSES3>QUARTIER_1>3DNODEGEOMETRY>CR46.TWORLDREF
4283935464, -11031832, WorldRef_Z, USA1, DB:>LEVELS>COURSES3>QUARTIER_1>3DNODEGEOMETRY>CR23.TWORLDREF
4294566768, -400528, WorldRef_Z, USA1, DB:>LEVELS>HUBS>QUARTIER_1>3DNODEGEOMETRY>HUB_CRATERLAKE.TWORLDREF
