324491469, 324491469, Font_Z, FONTES, DB:>FONTES>SMALL_FONT_PC.TFONT
3051804243, -1243163053, Font_Z, FONTESR, 
3340611318, -954355978, Font_Z, FONTES, DB:>FONTES>SMALL_FONT.TFONT
3943106003, -351861293, Font_Z, FONTES, DB:>FONTES>BIG_FONT.TFONT
4027888745, -267078551, Font_Z, FONTESR, 
4148593586, -146373710, Font_Z, FONTESR, 
